HEATING,0.0842328429
Street Light Condition,0.0568663169
Street Condition,0.0560161796
PLUMBING,0.0492484762
GENERAL CONSTRUCTION,0.0475176533
Blocked Driveway,0.0373333677
HEAT/HOT WATER,0.0355514095
Water System,0.0352069336
PAINT - PLASTER,0.0342728357
Illegal Parking,0.0273807567
Traffic Signal Condition,0.0264684790
NONCONST,0.0247508432
Noise,0.0232286412
Sewer,0.0216250400
ELECTRIC,0.0197903336
Dirty Conditions,0.0196426198
General Construction/Plumbing,0.0170890773
Damaged Tree,0.0168280878
Noise - Commercial,0.0160291807
Noise - Street/Sidewalk,0.0158720747
Sanitation Condition,0.0153963925
Building/Use,0.0152870065
UNSANITARY CONDITION,0.0139218156
Rodent,0.0134535334
Broken Muni Meter,0.0131862823
PAINT/PLASTER,0.0128809881
DOF Literature Request,0.0123594833
Missed Collection (All Materials),0.0107152775
Taxi Complaint,0.0106581652
Consumer Complaint,0.0100033670
Graffiti,0.0091075969
Overgrown Tree/Branches,0.0083396177
Derelict Vehicle,0.0082654288
Noise - Vehicle,0.0082623929
Derelict Vehicles,0.0071788735
DOOR/WINDOW,0.0066510124
WATER LEAK,0.0062036017
APPLIANCE,0.0058843614
Dead Tree,0.0054282226
Maintenance or Facility,0.0054238585
Root/Sewer/Sidewalk Condition,0.0053043213
GENERAL,0.0052209299
Snow,0.0052189376
Benefit Card Replacement,0.0051493973
Elevator,0.0047254197
FLOORING/STAIRS,0.0047041687
Food Establishment,0.0041410156
Air Quality,0.0040575293
Sidewalk Condition,0.0037145713
Street Sign - Damaged,0.0036027187
Special Enforcement,0.0031702975
Other Enforcement,0.0029428922
Highway Condition,0.0026969871
Construction,0.0026855078
Indoor Air Quality,0.0026455671
Lead,0.0023322089
Plumbing,0.0022419868
Street Sign - Missing,0.0021955001
Vending,0.0021765259
Water Conservation,0.0021647619
Electrical,0.0020421889
Animal Abuse,0.0019722691
DCA / DOH New License Application Request,0.0019590820
Traffic,0.0018831854
Special Projects Inspection Team (SPIT),0.0018803393
Fire Safety Director - F58,0.0018641164
SCRIE,0.0018085221
Noise - Park,0.0017434407
SAFETY,0.0016698210
For Hire Vehicle Complaint,0.0016591954
Food Poisoning,0.0016456289
Opinion for the Mayor,0.0016446802
Litter Basket / Request,0.0015470581
Noise Survey,0.0015466787
Homeless Encampment,0.0015457300
Broken Parking Meter,0.0014851075
Hazardous Materials,0.0014566463
Agency Issues,0.0013063709
Unsanitary Animal Pvt Property,0.0012984966
Vacant Lot,0.0012195641
Illegal Tree Damage,0.0011553366
Asbestos,0.0011540084
HPD Literature Request,0.0011038218
Boilers,0.0010114176
Smoking,0.0010020254
Violation of Park Rules,0.0009471901
School Maintenance,0.0009407389
Animal in a Park,0.0009373235
Street Sign - Dangling,0.0009306826
Industrial Waste,0.0009037392
Homeless Person Assistance,0.0008875163
DOT Literature Request,0.0008668345
Standing Water,0.0007915071
Overflowing Litter Baskets,0.0007498588
Drinking,0.0007248129
Non-Residential Heat,0.0007110567
Investigations and Discipline (IAD),0.0006621033
Water Quality,0.0006120115
Noise - House of Worship,0.0006048962
Noise - Helicopter,0.0005739683
Recycling Enforcement,0.0005544250
Sweeping/Missed-Inadequate,0.0005438943
EAP Inspection - F59,0.0005200817
Indoor Sewage,0.0004992102
BEST/Site Safety,0.0004962692
CONSTRUCTION,0.0004817539
Public Payphone Complaint,0.0004590798
Unleashed Dog,0.0004478850
Derelict Bicycle,0.0004358365
Taxi Compliment,0.0004087983
Disorderly Youth,0.0003887805
Curb Condition,0.0003697115
Bridge Condition,0.0003693320
Unsanitary Pigeon Condition,0.0003584219
Taxi Report,0.0003570937
DOF Property - Reduction Issue,0.0003277786
DPR Internal,0.0003156352
DOF Parking - Tax Exemption,0.0003061481
OUTSIDE BUILDING,0.0002962815
Ferry Inquiry,0.0002887867
Sweeping/Missed,0.0002784458
Emergency Response Team (ERT),0.0002700023
Found Property,0.0002570050
Bike/Roller/Skate Chronic,0.0002487512
Window Guard,0.0002451461
Urinating in Public,0.0002415411
Request for Information,0.0002224720
DCA Literature Request,0.0001993236
Cranes and Derricks,0.0001899313
Plant,0.0001877493
City Vehicle Placard Complaint,0.0001868955
Senior Center Complaint,0.0001792109
Mold,0.0001781674
OEM Disabled Vehicle,0.0001775981
ELEVATOR,0.0001738982
Posting Advertisement,0.0001610906
Bus Stop Shelter Placement,0.0001439190
Scaffold Safety,0.0001416421
Illegal Animal Kept as Pet,0.0001387960
